amfi_code,scheme_name,cagr_3yr_pct,sharpe_ratio,sharpe_rank,alpha,beta,max_drawdown_pct,worst_drawdown_date,expense_ratio_pct,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score
102886,UTI Mid Cap Fund - Regular - Growth,-0.7674063178547241,-0.20583160785470325,36.0,0.028949366251249286,-0.06147606747188305,-28.00112356639287,2026-04-27,1.51,92.5,90.0,100.0,61.25000000000001,87.5,88.1875
100016,HDFC Top 100 Fund - Regular Plan - Growth,1.292649342495622,-0.20151706755966947,35.0,0.03622082583927385,-0.025909405765861093,-24.734440880673304,2022-09-15,1.55,87.5,87.5,97.5,80.0,85.0,88.125
119095,Axis Small Cap Fund - Regular - Growth,-11.705806723995272,-0.07597357117478919,33.0,0.045680128064692294,0.013291723470735525,-51.677753708526566,2026-05-11,1.38,100.0,82.5,92.5,42.5,97.5,85.25
101207,ABSL Small Cap Fund - Regular - Growth,-4.152381044854481,0.16266076928646767,28.0,0.10820454812152297,-0.0598558458646006,-35.44691649336603,2026-05-11,1.53,97.5,70.0,67.5,71.25,95.0,80.4375
119092,Axis Bluechip Fund - Regular - Growth,0.5258871209757432,0.030784850954585892,31.0,0.0697017081135713,-0.0196087398664682,-14.401617909337261,2025-02-07,1.64,90.0,77.5,75.0,98.75,37.5,79.9375
119599,SBI Small Cap Fund - Direct Plan - Growth,-1.337386614488112,-0.05718662582817994,32.0,0.050572431452751046,0.007680982959652947,-52.57422117012851,2025-10-28,0.72,95.0,80.0,90.0,13.750000000000002,100.0,78.5625
120842,Kotak Emerging Equity Fund - Regular - Growth,7.756003551327284,0.07599984804658917,30.0,0.0785865149291694,0.0006475555544426252,-24.003511326274886,2024-10-17,1.56,70.0,75.0,72.5,82.5,82.5,74.875
100025,HDFC Short Term Debt Fund - Regular - Growth,3.9163899571040384,-0.5670947928476846,39.0,0.043189313078713834,-0.0161756408512603,-4.308263824636349,2023-07-28,0.56,85.0,97.5,95.0,5.0,10.0,70.625
101208,ABSL Liquid Fund - Regular - Growth,6.315784491375509,-0.8155673679088274,40.0,0.06084211292226629,0.0013273169546884334,-0.16224980244717857,2023-09-12,0.79,77.5,100.0,82.5,27.500000000000004,7.5,69.625
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.840358798463097,-0.22657538662791604,37.0,0.055762723198290544,0.011990672594122523,-4.328728923970093,2025-04-01,0.77,80.0,92.5,85.0,22.5,12.5,68.75
118636,Nippon India Gilt Securities Fund - Regular - Growth,4.062205023777143,-0.3566295075143681,38.0,0.05096267106480351,-0.008492388448091663,-8.316361763638703,2024-02-09,0.55,82.5,95.0,87.5,2.5,15.0,67.875
118634,Nippon India Small Cap Fund - Regular - Growth,8.007927728656083,0.44843400890899143,26.0,0.1780020912356628,0.009128170084160643,-23.34488614483311,2026-02-20,1.53,67.5,65.0,42.5,71.25,80.0,63.6875
120841,Kotak Bluechip Fund - Regular - Growth,17.26727508371786,0.4942725378672354,24.0,0.13068278268538389,0.0416757823665361,-17.57361416468729,2025-02-14,1.59,55.00000000000001,60.0,62.5,87.5,60.0,63.125
120844,Kotak Liquid Fund - Regular - Growth,6.695971624586994,-0.08874729621557328,34.0,0.06454601487990588,-7.563158272733993e-05,-0.11629327956168556,2024-04-30,0.6,75.0,85.0,80.0,7.5,5.0,61.375
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.245222866621418,0.3006119210425476,27.0,0.12055386350487392,-0.01851286878959151,-21.11727956013212,2025-09-12,0.78,65.0,67.5,65.0,25.0,72.5,60.375
149322,DSP Top 100 Equity Fund - Regular - Growth,18.04420648663614,0.46403744922047724,25.0,0.13129906992674878,0.014848756863667935,-14.844576917771747,2022-02-04,1.54,52.5,62.5,60.0,76.25,40.0,58.8125
102887,UTI Flexi Cap Fund - Regular - Growth,25.556187904126524,0.6195175900829826,22.0,0.16179316452470288,0.04011620562000177,-21.539827112383225,2022-07-04,1.64,32.5,55.00000000000001,52.5,98.75,75.0,56.3125
119093,Axis Bluechip Fund - Direct - Growth,20.816771175535862,0.12961449795669316,29.0,0.08329931222337687,-0.008427720099019367,-21.751396370148225,2023-05-22,0.75,40.0,72.5,70.0,20.0,77.5,54.875
120507,ICICI Pru Liquid Fund - Regular - Growth,7.394286300360076,0.4957233929533125,23.0,0.06747180157927476,-0.0011254611770458525,-0.09773140045925555,2025-10-20,0.74,72.5,57.49999999999999,77.5,17.5,2.5,54.5
120506,ICICI Pru Value Discovery Fund - Regular - Growth,18.421996537444542,0.6488787755249535,20.0,0.16283731486753183,0.047708015202565124,-19.82565826298267,2023-08-14,1.41,50.0,50.0,50.0,47.5,67.5,51.375
120503,ICICI Pru Bluechip Fund - Regular - Growth,13.978381933703044,0.7979728586052853,17.0,0.17587937785242744,-0.004111147836045644,-13.897862823061635,2023-11-09,1.42,62.5,42.5,45.0,50.0,35.0,49.375
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.748035533586012,0.9262873467360146,15.0,0.2079171509667248,5.116196740960626e-05,-15.27259422823477,2024-01-24,1.52,60.0,37.5,35.0,66.25,47.5,49.0625
102885,UTI Nifty 50 Index Fund - Regular - Growth,19.66726206830185,0.8170993373494366,16.0,0.16992711557794749,-0.0018841874054637102,-10.85986215250232,2022-03-29,1.57,45.0,40.0,47.5,85.0,17.5,47.5
118633,Nippon India Large Cap Fund - Direct - Growth,21.08997654925684,0.6452074382933211,21.0,0.15503795076034138,0.013157652619096521,-18.62974313859551,2024-02-29,0.72,37.5,52.5,55.00000000000001,13.750000000000002,65.0,43.9375
118635,Nippon India ETF Nifty 50 BeES,20.00820838047148,0.6648569985490614,19.0,0.15160602363545675,-0.013806609371555976,-11.650624505409091,2022-06-09,0.89,42.5,47.5,57.49999999999999,32.5,25.0,43.5
125497,HDFC Top 100 Fund - Direct Plan - Growth,18.434488610520173,0.7757902498211211,18.0,0.1789129568352085,-0.005459316559048838,-15.200013055606398,2025-01-01,0.92,47.5,45.0,40.0,35.0,45.0,43.25
119552,SBI Bluechip Fund - Direct Plan - Growth,16.267372294624916,0.9532794968660094,12.0,0.1982932218749148,-0.01985302504967574,-11.803493502764296,2024-09-02,0.66,57.49999999999999,30.0,37.5,10.0,27.500000000000004,36.5
118632,Nippon India Large Cap Fund - Regular - Growth,22.652359830098632,1.0816591793457038,8.0,0.21728068775563278,0.0364342177314729,-17.41407508665723,2024-07-19,1.51,35.0,20.0,27.500000000000004,61.25000000000001,57.49999999999999,35.9375
149324,DSP Small Cap Fund - Regular - Growth,27.000426614519245,0.9497958246616028,13.0,0.2981786893056835,0.13260808824054154,-31.171900300634213,2025-01-03,1.52,25.0,32.5,5.0,66.25,92.5,35.8125
149323,DSP Midcap Fund - Regular - Growth,26.869990828902203,1.1321218524747243,6.0,0.26583594480787764,0.0034785300797906637,-17.24810575345138,2022-10-24,1.61,27.500000000000004,15.0,20.0,95.0,55.00000000000001,35.75
119598,SBI Small Cap Fund - Regular Plan - Growth,26.66992200118774,0.9453082575156091,14.0,0.3011144193310002,0.0742664848380288,-28.706005721764548,2025-05-14,1.43,30.0,35.0,2.5,52.5,90.0,35.125
101206,ABSL Frontline Equity Fund - Regular - Growth,28.96769452874166,1.0272133278753701,9.0,0.2139447485061358,0.03381398454659161,-11.291596329323072,2023-07-05,1.6,22.5,22.5,30.0,91.25,22.5,34.3125
148569,Mirae Asset Tax Saver Fund - Regular - Growth,29.178901578393777,1.2349300257743294,3.0,0.28347336470728673,-0.01020136508827173,-16.39674294693263,2023-10-20,1.6,20.0,7.5,10.0,91.25,52.5,28.8125
119551,SBI Bluechip Fund - Regular Plan - Growth,30.456524420302888,1.2082665673727175,4.0,0.23219648016717326,-0.05604508562674623,-15.012385498645331,2024-02-05,1.54,15.0,10.0,25.0,76.25,42.5,27.6875
119094,Axis Midcap Fund - Regular - Growth,35.11180209642853,0.9982309868636414,11.0,0.25997054053321056,-0.059868150583866575,-20.960883862039193,2022-08-11,1.38,2.5,27.500000000000004,22.5,42.5,70.0,25.5
120504,ICICI Pru Bluechip Fund - Direct - Growth,32.48742855621496,1.0265242847993,10.0,0.2120943009940057,0.01702536176694926,-12.588275606922517,2023-05-30,0.8,7.5,25.0,32.5,30.0,30.0,22.5
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.442459421956116,1.0936987435346313,7.0,0.2723430403957973,-0.011199710059456157,-16.217208574644847,2022-05-12,1.38,10.0,17.5,15.0,42.5,50.0,21.75
120843,Kotak Flexicap Fund - Regular - Growth,29.58277033726251,1.3067439695428407,2.0,0.2727835993505962,-0.008737359353900992,-12.97396816518679,2022-04-13,1.45,17.5,5.0,12.5,55.00000000000001,32.5,20.5
120505,ICICI Pru Midcap Fund - Regular - Growth,31.777537151234704,1.1801011976606495,5.0,0.29301371282563315,-0.017391171743071695,-18.188513572116292,2025-01-23,1.36,12.5,12.5,7.5,37.5,62.5,20.25
148567,Mirae Asset Large Cap Fund - Regular - Growth,34.00091602163293,1.4482911703262593,1.0,0.2711501636821103,-0.028133312231657468,-11.265729075028275,2023-10-20,1.46,5.0,2.5,17.5,57.49999999999999,20.0,16.25
